"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1","acadian redfish","Sebastes fasciatus","dataportal",NA,NA,NA,NA,NA
"2","alewife","Alosa pseudoharengus","dataportal",NA,"CT","S3",NA,"CT"
"3","alewife","Alosa pseudoharengus","dataportal",NA,"ME","S5",NA,"ME"
"4","alewife","Alosa pseudoharengus","dataportal",NA,"MA","S3S4",NA,"MA"
"5","alewife","Alosa pseudoharengus","dataportal",NA,"NH","S5",NA,"NH"
"6","alewife","Alosa pseudoharengus","dataportal",NA,"NY","S5",NA,"NY"
"7","alewife","Alosa pseudoharengus","dataportal",NA,"RI","S3",NA,"RI"
"8","alewife","Alosa pseudoharengus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"9","alewife","Alosa pseudoharengus","dataportal",NA,"USA","N5",NA,"USA"
"10","american lobster","Homarus americanus","dataportal",NA,"CT","NNR",NA,"CT"
"11","american lobster","Homarus americanus","dataportal",NA,"RI","NNR",NA,"RI"
"12","american lobster","Homarus americanus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"13","american lobster","Homarus americanus","dataportal",NA,"USA","NNR",NA,"USA"
"14","american plaice","Hippoglossoides platessoides","dataportal",NA,"RI","NNR",NA,"RI"
"15","american plaice","Hippoglossoides platessoides","dataportal",NA,"IUCN",NA,NA,"IUCN"
"16","american plaice","Hippoglossoides platessoides","dataportal",NA,"USA","NNR",NA,"USA"
"17","american shad","Alosa sapidissima","dataportal",NA,"CT","S3",NA,"CT"
"18","american shad","Alosa sapidissima","dataportal",NA,"ME","S5",NA,"ME"
"19","american shad","Alosa sapidissima","dataportal",NA,"MA","S3S4",NA,"MA"
"20","american shad","Alosa sapidissima","dataportal",NA,"NH","S3",NA,"NH"
"21","american shad","Alosa sapidissima","dataportal",NA,"NY","S4",NA,"NY"
"22","american shad","Alosa sapidissima","dataportal",NA,"RI","S1",NA,"RI"
"23","american shad","Alosa sapidissima","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"24","american shad","Alosa sapidissima","dataportal",NA,"USA","N5",NA,"USA"
"25","arctic tern","Sterna paradisaea","dataportal",NA,"ME","S2B",NA,"ME"
"26","arctic tern","Sterna paradisaea","dataportal",NA,"MA","S1B,S1S2N",NA,"MA"
"27","arctic tern","Sterna paradisaea","dataportal",NA,"NH","S1B",NA,"NH"
"28","arctic tern","Sterna paradisaea","dataportal",NA,"NY","N5B",NA,"NY"
"29","arctic tern","Sterna paradisaea","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"30","arctic tern","Sterna paradisaea","dataportal",NA,"USA","N5B",NA,"USA"
"31","atlantic spotted dolphin","Stenella frontalis","dataportal",NA,"NY","NU",NA,"NY"
"32","atlantic spotted dolphin","Stenella frontalis","dataportal",NA,"IUCN","DD - Data deficient",NA,"IUCN"
"33","atlantic spotted dolphin","Stenella frontalis","dataportal",NA,"USA","NU",NA,"USA"
"34","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"ME","NU",NA,"ME"
"35","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"MA","S4",NA,"MA"
"36","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"NH","NU",NA,"NH"
"37","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"NY","NU",NA,"NY"
"38","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"RI","NU",NA,"RI"
"39","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"40","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"USA","NU",NA,"USA"
"41","atlantic cod","Gadus morhua","dataportal",NA,"NY","NNR",NA,"NY"
"42","atlantic cod","Gadus morhua","dataportal",NA,"RI","NNR",NA,"RI"
"43","atlantic cod","Gadus morhua","dataportal",NA,"IUCN","VU - Vulnerable",NA,"IUCN"
"44","atlantic cod","Gadus morhua","dataportal",NA,"USA","NNR",NA,"USA"
"45","atlantic croaker","Micropogonias undulatus","dataportal",NA,"NY","N5",NA,"NY"
"46","atlantic croaker","Micropogonias undulatus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"47","atlantic croaker","Micropogonias undulatus","dataportal",NA,"USA","N5",NA,"USA"
"48","atlantic halibut","Hippoglossus hippoglossus","dataportal",NA,"RI","NNR",NA,"RI"
"49","atlantic halibut","Hippoglossus hippoglossus","dataportal",NA,"IUCN","EN - Endangered",NA,"IUCN"
"50","atlantic halibut","Hippoglossus hippoglossus","dataportal",NA,"USA","NNR",NA,"USA"
"51","atlantic herring","Clupea harengus","dataportal",NA,"CT","NNR",NA,"CT"
"52","atlantic herring","Clupea harengus","dataportal",NA,"NY","NNR",NA,"NY"
"53","atlantic herring","Clupea harengus","dataportal",NA,"RI","NNR",NA,"RI"
"54","atlantic herring","Clupea harengus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"55","atlantic herring","Clupea harengus","dataportal",NA,"USA","NNR",NA,"USA"
"56","atlantic mackerel","Scomber scombrus","dataportal",NA,"CT","N5",NA,"CT"
"57","atlantic mackerel","Scomber scombrus","dataportal",NA,"NY","N5",NA,"NY"
"58","atlantic mackerel","Scomber scombrus","dataportal",NA,"RI","N5",NA,"RI"
"59","atlantic mackerel","Scomber scombrus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"60","atlantic mackerel","Scomber scombrus","dataportal",NA,"USA","N5",NA,"USA"
"61","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"CT","SNRB",NA,"CT"
"62","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"NY","N5",NA,"NY"
"63","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"RI","N5",NA,"RI"
"64","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"65","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"USA","N5",NA,"USA"
"66","atlantic puffin","Fratercula arctica","dataportal",NA,"ME","S2B",NA,"ME"
"67","atlantic puffin","Fratercula arctica","dataportal",NA,"MA","S2N",NA,"MA"
"68","atlantic puffin","Fratercula arctica","dataportal",NA,"NY","N1B",NA,"NY"
"69","atlantic puffin","Fratercula arctica","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"70","atlantic puffin","Fratercula arctica","dataportal",NA,"USA","N1B",NA,"USA"
"71","atlantic sharpnose shark","Rhizoprionodon terraenovae","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"72","atlantic sharpnose shark","Rhizoprionodon terraenovae","dataportal",NA,"USA","NNR",NA,"USA"
"73","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"CT","S1",NA,"CT"
"74","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"ME","S3",NA,"ME"
"75","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"MA","S1",NA,"MA"
"76","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"NH","S1",NA,"NH"
"77","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"NY","S1",NA,"NY"
"78","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"RI","SH",NA,"RI"
"79","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"IUCN","NT - Near threatened",NA,"IUCN"
"80","atlantic sturgeon","Acipenser oxyrinchus","dataportal",NA,"USA","N3",NA,"USA"
"81","atlantic torpedo","Torpedo nobiliana","dataportal",NA,"RI","NNR",NA,"RI"
"82","atlantic torpedo","Torpedo nobiliana","dataportal",NA,"IUCN","DD - Data deficient",NA,"IUCN"
"83","atlantic torpedo","Torpedo nobiliana","dataportal",NA,"USA","NNR",NA,"USA"
"84","atlantic wolffish","Anarhichas lupus","dataportal",NA,"RI","NNR",NA,"RI"
"85","atlantic wolffish","Anarhichas lupus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"86","atlantic wolffish","Anarhichas lupus","dataportal",NA,"USA","NNR",NA,"USA"
"87","audubons shearwater","Puffinus lherminieri","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"88","audubons shearwater","Puffinus lherminieri","dataportal",NA,"USA","N5N",NA,"USA"
"89","band rumped storm petrel","Oceanodroma castro","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"90","band rumped storm petrel","Oceanodroma castro","dataportal",NA,"USA","N1B",NA,"USA"
"91","banded drum","Larimus fasciatus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"92","banded drum","Larimus fasciatus","dataportal",NA,"USA","NNR",NA,"USA"
"93","barndoor skate","Dipturus laevis","dataportal",NA,"RI","NNR",NA,"RI"
"94","barndoor skate","Dipturus laevis","dataportal",NA,"IUCN","EN - Endangered",NA,"IUCN"
"95","barndoor skate","Dipturus laevis","dataportal",NA,"USA","NNR",NA,"USA"
"96","bay anchovy","Anchoa mitchilli","dataportal",NA,"CT","N5",NA,"CT"
"97","bay anchovy","Anchoa mitchilli","dataportal",NA,"ME","N5",NA,"ME"
"98","bay anchovy","Anchoa mitchilli","dataportal",NA,"MA","S4",NA,"MA"
"99","bay anchovy","Anchoa mitchilli","dataportal",NA,"NY","S3",NA,"NY"
"100","bay anchovy","Anchoa mitchilli","dataportal",NA,"RI","N5",NA,"RI"
"101","bay anchovy","Anchoa mitchilli","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"102","bay anchovy","Anchoa mitchilli","dataportal",NA,"USA","N5",NA,"USA"
"103","black capped petrel","Pterodroma hasitata","dataportal",NA,"IUCN","EN - Endangered",NA,"IUCN"
"104","black capped petrel","Pterodroma hasitata","dataportal",NA,"USA","NNRN",NA,"USA"
"105","black guillemot","Cepphus grylle","dataportal",NA,"ME","S4N,S5B",NA,"ME"
"106","black guillemot","Cepphus grylle","dataportal",NA,"MA","S4N",NA,"MA"
"107","black guillemot","Cepphus grylle","dataportal",NA,"NH","S3",NA,"NH"
"108","black guillemot","Cepphus grylle","dataportal",NA,"NY","N4",NA,"NY"
"109","black guillemot","Cepphus grylle","dataportal",NA,"RI","N4",NA,"RI"
"110","black guillemot","Cepphus grylle","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"111","black guillemot","Cepphus grylle","dataportal",NA,"USA","N4",NA,"USA"
"112","black legged kittiwake","Rissa tridactyla","dataportal",NA,"ME","S4S5N",NA,"ME"
"113","black legged kittiwake","Rissa tridactyla","dataportal",NA,"MA","S4N",NA,"MA"
"114","black legged kittiwake","Rissa tridactyla","dataportal",NA,"NH","N5B,N5N",NA,"NH"
"115","black legged kittiwake","Rissa tridactyla","dataportal",NA,"NY","N5B,N5N",NA,"NY"
"116","black legged kittiwake","Rissa tridactyla","dataportal",NA,"RI","N5B,N5N",NA,"RI"
"117","black legged kittiwake","Rissa tridactyla","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"118","black legged kittiwake","Rissa tridactyla","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"119","black scoter","Melanitta americana","dataportal",NA,"CT","N5B,N5N",NA,"CT"
"120","black scoter","Melanitta americana","dataportal",NA,"ME","S3S4N",NA,"ME"
"121","black scoter","Melanitta americana","dataportal",NA,"MA","S5N",NA,"MA"
"122","black scoter","Melanitta americana","dataportal",NA,"NH","N5B,N5N",NA,"NH"
"123","black scoter","Melanitta americana","dataportal",NA,"NY","N5B,N5N",NA,"NY"
"124","black scoter","Melanitta americana","dataportal",NA,"RI","N5B,N5N",NA,"RI"
"125","black scoter","Melanitta americana","dataportal",NA,"IUCN","NT - Near threatened",NA,"IUCN"
"126","black scoter","Melanitta americana","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"127","black sea bass","Centropristis striata","dataportal",NA,"NY","NNR",NA,"NY"
"128","black sea bass","Centropristis striata","dataportal",NA,"RI","NNR",NA,"RI"
"129","black sea bass","Centropristis striata","dataportal",NA,"IUCN",NA,NA,"IUCN"
"130","black sea bass","Centropristis striata","dataportal",NA,"USA","NNR",NA,"USA"
"131","blackbelly rosefish","Helicolenus dactylopterus","dataportal",NA,NA,NA,NA,NA
"132","blainvilles beaked whale","Mesoplodon densirostris","dataportal",NA,"NY","NU",NA,"NY"
"133","blainvilles beaked whale","Mesoplodon densirostris","dataportal",NA,"IUCN","DD - Data deficient",NA,"IUCN"
"134","blainvilles beaked whale","Mesoplodon densirostris","dataportal",NA,"USA","NU",NA,"USA"
"135","blueback herring","Alosa aestivalis","dataportal",NA,"CT","S5",NA,"CT"
"136","blueback herring","Alosa aestivalis","dataportal",NA,"ME","S4",NA,"ME"
"137","blueback herring","Alosa aestivalis","dataportal",NA,"MA","S3S4",NA,"MA"
"138","blueback herring","Alosa aestivalis","dataportal",NA,"NH","S4",NA,"NH"
"139","blueback herring","Alosa aestivalis","dataportal",NA,"NY","S3",NA,"NY"
"140","blueback herring","Alosa aestivalis","dataportal",NA,"RI","S1",NA,"RI"
"141","blueback herring","Alosa aestivalis","dataportal",NA,"IUCN","VU - Vulnerable",NA,"IUCN"
"142","blueback herring","Alosa aestivalis","dataportal",NA,"USA","N3N4",NA,"USA"
"143","bluefish","Pomatomus saltatrix","dataportal",NA,"NY","N5",NA,"NY"
"144","bluefish","Pomatomus saltatrix","dataportal",NA,"RI","N5",NA,"RI"
"145","bluefish","Pomatomus saltatrix","dataportal",NA,"IUCN",NA,NA,"IUCN"
"146","bluefish","Pomatomus saltatrix","dataportal",NA,"USA","N5",NA,"USA"
"147","bluntnose stingray","Dasyatis say","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"148","bluntnose stingray","Dasyatis say","dataportal",NA,"USA","N5",NA,"USA"
"149","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"CT","N5B,N5N",NA,"CT"
"150","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"ME","S4N",NA,"ME"
"151","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"MA","S4N",NA,"MA"
"152","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"NH","N5B,N5N",NA,"NH"
"153","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"NY","N5B,N5N",NA,"NY"
"154","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"RI","N5B,N5N",NA,"RI"
"155","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"156","bonapartes gull","Chroicocephalus philadelphia","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"157","bottlenose dolphin","Tursiops truncatus","dataportal",NA,"MA","S2",NA,"MA"
"158","bottlenose dolphin","Tursiops truncatus","dataportal",NA,"NY","S3",NA,"NY"
"159","bottlenose dolphin","Tursiops truncatus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"160","bottlenose dolphin","Tursiops truncatus","dataportal",NA,"USA","N4N5",NA,"USA"
"161","bridled tern","Onychoprion anaethetus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"162","bridled tern","Onychoprion anaethetus","dataportal",NA,"USA","N1B,N3N",NA,"USA"
"163","brown pelican","Pelecanus occidentalis","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"164","brown pelican","Pelecanus occidentalis","dataportal",NA,"USA","N4B,N4N",NA,"USA"
"165","bullnose ray","Myliobatis freminvillei","dataportal",NA,NA,NA,NA,NA
"166","butterfish","Peprilus triacanthus","dataportal",NA,"CT","NNR",NA,"CT"
"167","butterfish","Peprilus triacanthus","dataportal",NA,"NY","NNR",NA,"NY"
"168","butterfish","Peprilus triacanthus","dataportal",NA,"RI","NNR",NA,"RI"
"169","butterfish","Peprilus triacanthus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"170","butterfish","Peprilus triacanthus","dataportal",NA,"USA","NNR",NA,"USA"
"171","clearnose skate","Raja eglanteria","dataportal",NA,"CT","NNR",NA,"CT"
"172","clearnose skate","Raja eglanteria","dataportal",NA,"RI","NNR",NA,"RI"
"173","clearnose skate","Raja eglanteria","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"174","clearnose skate","Raja eglanteria","dataportal",NA,"USA","NNR",NA,"USA"
"175","common eider","Somateria mollissima","dataportal",NA,"ME","S5B,S5N",NA,"ME"
"176","common eider","Somateria mollissima","dataportal",NA,"MA","S2B,S5N",NA,"MA"
"177","common eider","Somateria mollissima","dataportal",NA,"NH","S5",NA,"NH"
"178","common eider","Somateria mollissima","dataportal",NA,"NY","S1B,S3?N",NA,"NY"
"179","common eider","Somateria mollissima","dataportal",NA,"RI","N5B,N5N",NA,"RI"
"180","common eider","Somateria mollissima","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"181","common eider","Somateria mollissima","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"182","common loon","Gavia immer","dataportal",NA,"CT","S1B",NA,"CT"
"183","common loon","Gavia immer","dataportal",NA,"ME","S4S5B,S4S5N",NA,"ME"
"184","common loon","Gavia immer","dataportal",NA,"MA","S2B,S5N",NA,"MA"
"185","common loon","Gavia immer","dataportal",NA,"NH","S2B",NA,"NH"
"186","common loon","Gavia immer","dataportal",NA,"NY","S4",NA,"NY"
"187","common loon","Gavia immer","dataportal",NA,"RI","N4B,N5N",NA,"RI"
"188","common loon","Gavia immer","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"189","common loon","Gavia immer","dataportal",NA,"USA","N4B,N5N",NA,"USA"
"190","common murre","Uria aalge","dataportal",NA,"ME","SXB,S1N",NA,"ME"
"191","common murre","Uria aalge","dataportal",NA,"MA","S1N",NA,"MA"
"192","common murre","Uria aalge","dataportal",NA,"NH","N5B,N5N",NA,"NH"
"193","common murre","Uria aalge","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"194","common murre","Uria aalge","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"195","common tern","Sterna hirundo","dataportal",NA,"CT","S3B",NA,"CT"
"196","common tern","Sterna hirundo","dataportal",NA,"ME","S4B",NA,"ME"
"197","common tern","Sterna hirundo","dataportal",NA,"MA","S3B,S4N",NA,"MA"
"198","common tern","Sterna hirundo","dataportal",NA,"NH","S2B",NA,"NH"
"199","common tern","Sterna hirundo","dataportal",NA,"NY","S3B",NA,"NY"
"200","common tern","Sterna hirundo","dataportal",NA,"RI","S3B",NA,"RI"
"201","common tern","Sterna hirundo","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"202","common tern","Sterna hirundo","dataportal",NA,"USA","N5B",NA,"USA"
"203","corys shearwater","Calonectris borealis","dataportal",NA,NA,NA,NA,NA
"204","cunner","Tautogolabrus adspersus","dataportal",NA,"CT","N5",NA,"CT"
"205","cunner","Tautogolabrus adspersus","dataportal",NA,"NY","N5",NA,"NY"
"206","cunner","Tautogolabrus adspersus","dataportal",NA,"RI","N5",NA,"RI"
"207","cunner","Tautogolabrus adspersus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"208","cunner","Tautogolabrus adspersus","dataportal",NA,"USA","N5",NA,"USA"
"209","cusk","Brosme brosme","dataportal",NA,"ME","NNR",NA,"ME"
"210","cusk","Brosme brosme","dataportal",NA,"IUCN",NA,NA,"IUCN"
"211","cusk","Brosme brosme","dataportal",NA,"USA","NNR",NA,"USA"
"212","cuviers beaked whale","Ziphius cavirostris","dataportal",NA,"NY","NU",NA,"NY"
"213","cuviers beaked whale","Ziphius cavirostris","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"214","cuviers beaked whale","Ziphius cavirostris","dataportal",NA,"USA","NU",NA,"USA"
"215","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"CT","S3B,S4N",NA,"CT"
"216","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"ME","S5B",NA,"ME"
"217","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"MA","S3B,S5N",NA,"MA"
"218","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"NH","S5",NA,"NH"
"219","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"NY","S3",NA,"NY"
"220","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"RI","S2B",NA,"RI"
"221","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"222","double crested cormorant","Phalacrocorax auritus","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"223","dovekie","Alle alle","dataportal",NA,"ME","S1N",NA,"ME"
"224","dovekie","Alle alle","dataportal",NA,"MA","S3N",NA,"MA"
"225","dovekie","Alle alle","dataportal",NA,"NH","N2B",NA,"NH"
"226","dovekie","Alle alle","dataportal",NA,"NY","N2B",NA,"NY"
"227","dovekie","Alle alle","dataportal",NA,"RI","N2B",NA,"RI"
"228","dovekie","Alle alle","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"229","dovekie","Alle alle","dataportal",NA,"USA","N2B",NA,"USA"
"230","fin whale","Balaenoptera physalus","dataportal",NA,"ME","N2",NA,"ME"
"231","fin whale","Balaenoptera physalus","dataportal",NA,"MA","S2",NA,"MA"
"232","fin whale","Balaenoptera physalus","dataportal",NA,"NY","S1",NA,"NY"
"233","fin whale","Balaenoptera physalus","dataportal",NA,"RI","N2",NA,"RI"
"234","fin whale","Balaenoptera physalus","dataportal",NA,"IUCN","EN - Endangered",NA,"IUCN"
"235","fin whale","Balaenoptera physalus","dataportal",NA,"USA","N2",NA,"USA"
"236","fourspot flounder","Hippoglossina oblonga","dataportal",NA,NA,NA,NA,NA
"237","gervais beaked whale","Mesoplodon europaeus","dataportal",NA,"NY","N1N3",NA,"NY"
"238","gervais beaked whale","Mesoplodon europaeus","dataportal",NA,"IUCN","DD - Data deficient",NA,"IUCN"
"239","gervais beaked whale","Mesoplodon europaeus","dataportal",NA,"USA","N1N3",NA,"USA"
"240","goosefish","Lophius americanus","dataportal",NA,"NY","N5",NA,"NY"
"241","goosefish","Lophius americanus","dataportal",NA,"RI","N5",NA,"RI"
"242","goosefish","Lophius americanus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"243","goosefish","Lophius americanus","dataportal",NA,"USA","N5",NA,"USA"
"244","great black backed gull","Larus marinus","dataportal",NA,"CT","S5",NA,"CT"
"245","great black backed gull","Larus marinus","dataportal",NA,"ME","S5B,S5N",NA,"ME"
"246","great black backed gull","Larus marinus","dataportal",NA,"MA","S3S4B,S5N",NA,"MA"
"247","great black backed gull","Larus marinus","dataportal",NA,"NH","S5",NA,"NH"
"248","great black backed gull","Larus marinus","dataportal",NA,"NY","S4",NA,"NY"
"249","great black backed gull","Larus marinus","dataportal",NA,"RI","S2B",NA,"RI"
"250","great black backed gull","Larus marinus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"251","great black backed gull","Larus marinus","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"252","great shearwater","Ardenna gravis","dataportal",NA,"ME","S5N",NA,"ME"
"253","great shearwater","Ardenna gravis","dataportal",NA,"MA","S5N",NA,"MA"
"254","great shearwater","Ardenna gravis","dataportal",NA,"NH","N5N",NA,"NH"
"255","great shearwater","Ardenna gravis","dataportal",NA,"NY","N5N",NA,"NY"
"256","great shearwater","Ardenna gravis","dataportal",NA,"RI","N5N",NA,"RI"
"257","great shearwater","Ardenna gravis","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"258","great shearwater","Ardenna gravis","dataportal",NA,"USA","N5N",NA,"USA"
"259","great skua","Stercorarius skua","dataportal",NA,"ME","NNA",NA,"ME"
"260","great skua","Stercorarius skua","dataportal",NA,"MA","S1N",NA,"MA"
"261","great skua","Stercorarius skua","dataportal",NA,"NY","NNA",NA,"NY"
"262","great skua","Stercorarius skua","dataportal",NA,"RI","NNA",NA,"RI"
"263","great skua","Stercorarius skua","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"264","great skua","Stercorarius skua","dataportal",NA,"USA","NNA",NA,"USA"
"265","gulf stream flounder","Citharichthys arctifrons","dataportal",NA,"NY","NNR",NA,"NY"
"266","gulf stream flounder","Citharichthys arctifrons","dataportal",NA,"RI","NNR",NA,"RI"
"267","gulf stream flounder","Citharichthys arctifrons","dataportal",NA,"IUCN",NA,NA,"IUCN"
"268","gulf stream flounder","Citharichthys arctifrons","dataportal",NA,"USA","NNR",NA,"USA"
"269","haddock","Melanogrammus aeglefinus","dataportal",NA,"RI","NNR",NA,"RI"
"270","haddock","Melanogrammus aeglefinus","dataportal",NA,"IUCN","VU - Vulnerable",NA,"IUCN"
"271","haddock","Melanogrammus aeglefinus","dataportal",NA,"USA","NNR",NA,"USA"
"272","harbor porpoise","Phocoena phocoena","dataportal",NA,"CT","N4N5",NA,"CT"
"273","harbor porpoise","Phocoena phocoena","dataportal",NA,"ME","N4N5",NA,"ME"
"274","harbor porpoise","Phocoena phocoena","dataportal",NA,"MA","S4",NA,"MA"
"275","harbor porpoise","Phocoena phocoena","dataportal",NA,"NY","S4",NA,"NY"
"276","harbor porpoise","Phocoena phocoena","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"277","harbor porpoise","Phocoena phocoena","dataportal",NA,"USA","N4N5",NA,"USA"
"278","herring gull","Larus smithsonianus","dataportal",NA,NA,NA,NA,NA
"279","hickory shad","Alosa mediocris","dataportal",NA,"CT","S2",NA,"CT"
"280","hickory shad","Alosa mediocris","dataportal",NA,"ME","S4",NA,"ME"
"281","hickory shad","Alosa mediocris","dataportal",NA,"MA","N4",NA,"MA"
"282","hickory shad","Alosa mediocris","dataportal",NA,"NH","N4",NA,"NH"
"283","hickory shad","Alosa mediocris","dataportal",NA,"NY","S2",NA,"NY"
"284","hickory shad","Alosa mediocris","dataportal",NA,"RI","N4",NA,"RI"
"285","hickory shad","Alosa mediocris","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"286","hickory shad","Alosa mediocris","dataportal",NA,"USA","N4",NA,"USA"
"287","horned grebe","Podiceps auritus","dataportal",NA,"CT","N5B,N5N",NA,"CT"
"288","horned grebe","Podiceps auritus","dataportal",NA,"ME","S4S5N",NA,"ME"
"289","horned grebe","Podiceps auritus","dataportal",NA,"MA","S5N",NA,"MA"
"290","horned grebe","Podiceps auritus","dataportal",NA,"NH","N5B,N5N",NA,"NH"
"291","horned grebe","Podiceps auritus","dataportal",NA,"NY","N5B,N5N",NA,"NY"
"292","horned grebe","Podiceps auritus","dataportal",NA,"RI","N5B,N5N",NA,"RI"
"293","horned grebe","Podiceps auritus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"294","horned grebe","Podiceps auritus","dataportal",NA,"USA","N5B,N5N",NA,"USA"
"295","horseshoe crab","Limulus polyphemus","dataportal",NA,"CT","S2S3",NA,"CT"
"296","horseshoe crab","Limulus polyphemus","dataportal",NA,"RI","N5",NA,"RI"
"297","horseshoe crab","Limulus polyphemus","dataportal",NA,"IUCN","NT - Near threatened",NA,"IUCN"
"298","horseshoe crab","Limulus polyphemus","dataportal",NA,"USA","N5",NA,"USA"
"299","humpback whale","Megaptera novaeangliae","dataportal",NA,"ME","N3",NA,"ME"
"300","humpback whale","Megaptera novaeangliae","dataportal",NA,"MA","S2",NA,"MA"
"301","humpback whale","Megaptera novaeangliae","dataportal",NA,"NY","N3",NA,"NY"
"302","humpback whale","Megaptera novaeangliae","dataportal",NA,"RI","N3",NA,"RI"
"303","humpback whale","Megaptera novaeangliae","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"304","humpback whale","Megaptera novaeangliae","dataportal",NA,"USA","N3",NA,"USA"
"305","jonah crab","Cancer borealis","dataportal",NA,"CT","NNR",NA,"CT"
"306","jonah crab","Cancer borealis","dataportal",NA,"RI","NNR",NA,"RI"
"307","jonah crab","Cancer borealis","dataportal",NA,"IUCN",NA,NA,"IUCN"
